ds,y
1/1/2020,1370.00
1/1/2020,110.00
1/1/2020,545.40
1/1/2020,807.50
1/1/2020,772.65
1/1/2020,475.00
1/1/2020,2570.08
1/1/2020,6365.00
1/1/2020,29138.00
1/1/2020,643.86
1/1/2020,1039.38
1/1/2020,390.00
1/1/2020,6090.30
1/6/2020,6931.04
1/6/2020,540.26
1/6/2020,2457.56
1/6/2020,3502.18
1/6/2020,1022.97
1/6/2020,183.24
1/6/2020,165.00
1/6/2020,150.00
1/6/2020,165.00
1/6/2020,150.00
1/6/2020,165.00
1/6/2020,4215.00
1/7/2020,3310.00
1/8/2020,25.29
1/8/2020,480.00
1/9/2020,6350.00
1/9/2020,250.00
1/9/2020,5265.84
1/9/2020,-145.90
1/9/2020,55.00
1/9/2020,380.00
1/9/2020,454.50
1/10/2020,53113.76
1/10/2020,1600.00
1/10/2020,1390.00
1/10/2020,49.35
1/13/2020,180.00
1/13/2020,150.00
1/13/2020,180.00
1/13/2020,150.00
1/13/2020,3945.52
1/13/2020,2055.00
1/13/2020,110.00
1/13/2020,955.00
1/13/2020,643.38
1/14/2020,110900.00
1/14/2020,171.15
1/14/2020,145.00
1/14/2020,166.46
1/14/2020,235.00
1/14/2020,525.00
1/14/2020,740.00
1/15/2020,29.68
1/15/2020,910.00
1/15/2020,100.00
1/15/2020,832.49
1/15/2020,110.00
1/15/2020,889.08
1/15/2020,3044.19
1/15/2020,2370.40
1/15/2020,2619.60
1/15/2020,1261.55
1/15/2020,1944.52
1/15/2020,3665.00
1/17/2020,347.32
1/18/2020,8345.00
1/20/2020,1440.00
1/20/2020,830.47
1/20/2020,3036.03
1/21/2020,42247.60
1/21/2020,2287.50
1/21/2020,1074.75
1/21/2020,215.00
1/21/2020,176.38
1/21/2020,3137.75
1/21/2020,3780.00
1/21/2020,123.98
1/22/2020,145.00
1/22/2020,222.90
1/22/2020,168.64
1/24/2020,3170.00
1/24/2020,6348.80
1/24/2020,448.56
1/27/2020,17348.20
1/28/2020,9200.00
1/28/2020,15500.00
1/28/2020,1500.94
1/28/2020,2520.00
1/28/2020,330.00
1/28/2020,220.00
1/28/2020,4125.68
1/28/2020,1980.00
1/29/2020,167.00
1/29/2020,100.00
1/29/2020,280.00
1/29/2020,300.00
1/30/2020,2509.20
1/30/2020,2515.00
1/30/2020,40.00
1/31/2020,2996.20
1/31/2020,570.00
1/31/2020,531.55
1/31/2020,1980.00
1/31/2020,500.00
1/31/2020,320.00
1/31/2020,217.50
2/3/2020,55989.35
2/3/2020,502.80
2/3/2020,560.00
2/3/2020,187.50
2/3/2020,165.00
2/3/2020,540.00
2/3/2020,466.61
2/3/2020,3920.98
2/3/2020,4266.27
2/3/2020,1940.00
2/3/2020,217.00
2/3/2020,620.00
2/3/2020,4470.00
2/4/2020,195.00
2/4/2020,100.00
2/4/2020,345.00
2/4/2020,290.00
2/6/2020,965.12
2/6/2020,100.00
2/6/2020,55.00
2/6/2020,705.00
2/6/2020,775.12
2/6/2020,220.51
2/6/2020,500.00
2/7/2020,210.01
2/7/2020,169.72
2/10/2020,5160.00
2/10/2020,1203.25
2/10/2020,1539.44
2/10/2020,359.40
2/10/2020,1600.00
2/10/2020,9075.00
2/10/2020,5319.81
2/10/2020,2696.62
2/10/2020,2827.50
2/10/2020,640.00
2/12/2020,235.00
2/12/2020,285.00
2/12/2020,245.04
2/12/2020,510.00
2/12/2020,470.00
2/12/2020,1265.12
2/12/2020,3720.48
2/13/2020,363.60
2/13/2020,380.00
2/13/2020,55.00
2/13/2020,915.12
2/14/2020,564.54
2/14/2020,145.00
2/14/2020,2514.85
2/14/2020,2028.75
2/14/2020,123.20
2/17/2020,2620.48
2/17/2020,2799.52
2/17/2020,1080.00
2/19/2020,307.56
2/19/2020,160.00
2/19/2020,420.00
2/19/2020,550.00
2/20/2020,1930.24
2/20/2020,2130.24
2/21/2020,2047.50
2/21/2020,1401.50
2/21/2020,780.11
2/22/2020,1090.80
2/22/2020,1140.00
2/22/2020,20.00
2/24/2020,6500.00
2/25/2020,100.00
2/25/2020,150.00
2/26/2020,1084.00
2/26/2020,202.64
2/26/2020,1692.71
2/27/2020,380.00
2/27/2020,263.85
2/27/2020,180.00
2/27/2020,176.38
2/27/2020,1600.00
2/27/2020,890.08
2/27/2020,2608.76
2/28/2020,100.00
2/28/2020,173.22
2/28/2020,371.80
2/28/2020,450.00
3/2/2020,8100.00
3/2/2020,-5292.52
3/2/2020,1784.00
3/2/2020,1690.00
3/2/2020,5292.52
3/2/2020,1020.00
3/2/2020,1200.00
3/2/2020,684.50
3/2/2020,55.00
3/2/2020,431.25
3/2/2020,547.60
3/2/2020,240.00
3/2/2020,887.12
3/2/2020,180.00
3/2/2020,171.80
3/2/2020,640.00
3/2/2020,2825.52
3/2/2020,2584.48
3/2/2020,1090.00
3/2/2020,1690.00
3/2/2020,5317.52
3/2/2020,9738.19
3/2/2020,-1690.00
3/2/2020,14946.60
3/6/2020,2200.00
3/6/2020,1830.24
3/6/2020,260.00
3/6/2020,680.08
3/6/2020,245.00
3/6/2020,240.00
3/6/2020,272.70
3/9/2020,1230.24
3/9/2020,200.00
3/9/2020,270.00
3/9/2020,3861.98
3/9/2020,2235.12
3/9/2020,400.00
3/9/2020,225.00
3/9/2020,260.93
3/9/2020,245.00
3/9/2020,240.00
3/9/2020,1335.87
3/9/2020,375.00
3/9/2020,4955.00
3/9/2020,860.16
3/9/2020,1380.00
3/9/2020,660.00
3/11/2020,6668.25
3/11/2020,413.64
3/11/2020,81.84
3/11/2020,850.00
3/12/2020,260.38
3/12/2020,340.00
3/13/2020,340.00
3/13/2020,100.00
3/13/2020,602.70
3/13/2020,3630.00
3/13/2020,1908.90
3/16/2020,3276.91
3/16/2020,2235.04
3/16/2020,988.05
3/16/2020,2800.00
3/16/2020,195.00
3/16/2020,9083.80
3/16/2020,285.00
3/17/2020,485.00
3/17/2020,479.11
3/17/2020,190.00
3/17/2020,935.12
3/17/2020,250.00
3/17/2020,167.33
3/17/2020,195.00
3/18/2020,840.00
3/18/2020,2265.00
3/18/2020,342.77
3/18/2020,240.00
3/18/2020,3815.12
3/18/2020,2160.00
3/19/2020,195.00
3/19/2020,4054.76
3/19/2020,125.00
3/19/2020,216.80
3/19/2020,305.00
3/20/2020,460.00
3/20/2020,3005.00
3/20/2020,1083.23
3/20/2020,541.23
3/23/2020,305.00
3/23/2020,1440.00
3/23/2020,3645.68
3/23/2020,216.91
3/23/2020,1200.00
3/23/2020,39.36
3/24/2020,205.00
3/24/2020,150.00
3/25/2020,650.00
3/25/2020,718.57
3/26/2020,202.64
3/27/2020,40591.49
3/30/2020,6485.52
4/1/2020,5598.78
4/1/2020,3315.00
4/2/2020,190.00
4/2/2020,195.00
4/3/2020,26567.88
4/3/2020,522.48
4/3/2020,640.00
4/3/2020,5020.00
4/3/2020,20850.00
4/3/2020,6159.00
4/3/2020,405.00
4/6/2020,3685.68
4/6/2020,2175.00
4/6/2020,570.00
4/8/2020,125.00
4/8/2020,195.00
4/8/2020,320.70
4/8/2020,61.88
4/13/2020,125.00
4/13/2020,195.00
4/13/2020,161.68
4/13/2020,125.00
4/13/2020,425.07
4/13/2020,325.00
4/13/2020,218.00
4/13/2020,125.00
4/13/2020,218.00
4/13/2020,3235.60
4/13/2020,2640.00
4/13/2020,540.00
4/13/2020,205.00
4/14/2020,198014.00
4/15/2020,435.00
4/15/2020,690.00
4/15/2020,511.25
4/15/2020,495.00
4/15/2020,305.00
4/15/2020,345.00
4/16/2020,530.55
4/16/2020,305.00
4/16/2020,345.00
4/16/2020,205.00
4/16/2020,216.80
4/16/2020,610.00
4/16/2020,16050.00
4/17/2020,4147.64
4/17/2020,330.00
4/17/2020,1149.08
4/20/2020,2000.00
4/20/2020,1600.00
4/20/2020,6474.65
4/21/2020,1916.74
4/21/2020,1225.90
4/21/2020,3682.11
4/21/2020,3330.00
4/21/2020,589.70
4/21/2020,640.00
4/21/2020,5834.93
4/22/2020,5363.60
4/22/2020,315.00
4/22/2020,190.00
4/22/2020,202.64
4/22/2020,395.00
4/22/2020,229.67
4/23/2020,454.08
4/23/2020,940.00
4/23/2020,1969.18
4/24/2020,4054.76
4/24/2020,248.14
4/24/2020,600.00
4/27/2020,212.87
4/27/2020,855.00
4/27/2020,744.24
4/27/2020,683.19
4/27/2020,170.00
4/27/2020,935.12
4/27/2020,4400.40
4/27/2020,1335.12
4/28/2020,15180.00
4/28/2020,520.39
4/28/2020,401.68
4/28/2020,400.37
4/28/2020,5827.17
4/28/2020,17780.00
4/29/2020,2000.00
4/29/2020,22225.64
4/30/2020,5003.29
4/30/2020,3485.20
4/30/2020,17358.00
4/30/2020,2823.02
5/1/2020,5863.18
5/4/2020,2347.50
5/4/2020,3882.50
5/4/2020,270.00
5/4/2020,230.00
5/4/2020,230.00
5/4/2020,810.00
5/4/2020,10260.00
5/4/2020,10845.25
5/5/2020,190.00
5/5/2020,295.00
5/5/2020,420.00
5/5/2020,205.90
5/5/2020,195.00
5/5/2020,420.00
5/6/2020,260.00
5/6/2020,245.00
5/6/2020,270.00
5/6/2020,240.00
5/7/2020,120.00
5/7/2020,190.00
5/7/2020,595.36
5/8/2020,435.00
5/8/2020,452.11
5/8/2020,635.00
5/8/2020,549.98
5/8/2020,305.00
5/8/2020,206.88
5/8/2020,815.00
5/8/2020,414.82
5/8/2020,21626.82
5/8/2020,1934.79
5/12/2020,484.69
5/12/2020,510.00
5/12/2020,416.46
5/12/2020,170.00
5/13/2020,305.00
5/13/2020,245.00
5/13/2020,526.62
5/13/2020,730.00
5/13/2020,5195.36
5/13/2020,6500.00
5/13/2020,690.00
5/13/2020,9880.00
5/13/2020,1660.69
5/13/2020,690.00
5/14/2020,270.00
5/15/2020,1900.00
5/15/2020,22808.86
5/15/2020,270.00
5/15/2020,25.00
5/15/2020,990.00
5/15/2020,25.00
5/15/2020,180.00
5/15/2020,640.00
5/15/2020,1572.26
5/18/2020,6373.34
5/19/2020,270.00
5/19/2020,527.73
5/20/2020,1121.25
5/20/2020,1389.70
5/20/2020,205.00
5/20/2020,210.15
5/21/2020,2100.00
5/22/2020,202.64
5/22/2020,1165.12
5/22/2020,640.00
5/22/2020,445.00
5/26/2020,6470.88
5/26/2020,354.30
5/26/2020,310.00
5/27/2020,1704.08
5/27/2020,650.00
5/29/2020,610.00
5/29/2020,1009.46
5/29/2020,2110.12
5/29/2020,1085.17
5/29/2020,865.00
5/29/2020,1260.00
5/29/2020,1380.00
5/29/2020,220.05
5/29/2020,15600.00
5/29/2020,405.00
5/29/2020,2171.25
5/30/2020,1909.00
6/1/2020,470.00
6/1/2020,6415.60
6/1/2020,345.00
6/3/2020,726.92
6/3/2020,10118.00
6/5/2020,50471.77
6/5/2020,147.90
6/5/2020,13007.84
6/5/2020,14750.00
6/8/2020,6331.04
6/8/2020,560.00
6/8/2020,468.98
6/10/2020,30824.67
6/10/2020,410.00
6/10/2020,563.06
6/11/2020,1995.00
6/11/2020,2640.26
6/11/2020,517.70
6/11/2020,751.94
6/11/2020,860.00
6/12/2020,2791.76
6/12/2020,6170.50
6/12/2020,555.27
6/12/2020,565.00
6/15/2020,2170.00
6/15/2020,31.79
6/15/2020,16565.90
6/15/2020,504.93
6/15/2020,1477.74
6/15/2020,6470.72
6/15/2020,295.00
6/16/2020,640.79
6/16/2020,410.00
6/16/2020,400.00
6/16/2020,612.70
6/17/2020,454.44
6/17/2020,575.00
6/18/2020,2340.00
6/18/2020,840.00
6/18/2020,220.51
6/18/2020,205.00
6/18/2020,5496.84
6/18/2020,10984.00
6/19/2020,1070.00
