L.B. Landscaping Inc,,,,,,,,,
Sales by  Customer Detail,,,,,,,,,
January - December 2022,,,,,,,,,
,,,,,,,,,
,Date,Transaction Type,Num,Product/Service,Memo/Description,Qty,Sales Price,Amount,Balance
January 2022,,,,,,,,,
,01/01/2022,Invoice,1948 - 5531,Service,,1,"9,942.12  ","9,942.12  ","9,942.12  "
,01/03/2022,Invoice,1948-5519,Service,,1,"2,096.89  ","2,096.89  ","12,039.01  "
,01/03/2022,Invoice,1948-5506,Service,,1,846.37  ,846.37  ,"12,885.38  "
,01/03/2022,Invoice,1948-5548,Service,,1,390.00  ,390.00  ,"13,275.38  "
,01/03/2022,Invoice,1948-5537,Service,,1,657.65  ,657.65  ,"13,933.03  "
,01/03/2022,Invoice,1948-5529,Service,,1,"1,915.09  ","1,915.09  ","15,848.12  "
,01/03/2022,Invoice,1948-5515,Service,,1,"1,625.40  ","1,625.40  ","17,473.52  "
,01/03/2022,Invoice,1948-5545,Service,,1,506.05  ,506.05  ,"17,979.57  "
,01/03/2022,Invoice,1948-5541,Service,,1,"2,411.67  ","2,411.67  ","20,391.24  "
,01/03/2022,Invoice,1948-5562,Service,,1,916.81  ,916.81  ,"21,308.05  "
,01/03/2022,Invoice,1948-5539,Service,,1,"6,360.00  ","6,360.00  ","27,668.05  "
,01/03/2022,Invoice,1948-5527R,Service,,1,"3,245.28  ","3,245.28  ","30,913.33  "
,01/03/2022,Invoice,1948-5509,Service,,1,441.92  ,441.92  ,"31,355.25  "
,01/03/2022,Invoice,1948-5535,Service,,1,783.05  ,783.05  ,"32,138.30  "
,01/03/2022,Invoice,1948-5549,Service,,1,720.00  ,720.00  ,"32,858.30  "
,01/03/2022,Invoice,1948-5534,Service,,1,"1,632.01  ","1,632.01  ","34,490.31  "
,01/03/2022,Invoice,1948-5514,Service,,1,583.92  ,583.92  ,"35,074.23  "
,01/03/2022,Invoice,1948-5518,Service,,1,"1,940.00  ","1,940.00  ","37,014.23  "
,01/03/2022,Invoice,1948-5558,Service,,1,"7,067.52  ","7,067.52  ","44,081.75  "
,01/03/2022,Invoice,1948-5542,Service,,1,"2,738.87  ","2,738.87  ","46,820.62  "
,01/03/2022,Invoice,1948-5557,Service,,1,"4,455.64  ","4,455.64  ","51,276.26  "
,01/03/2022,Invoice,1948-5564,Service,,1,390.00  ,390.00  ,"51,666.26  "
,01/03/2022,Invoice,1948-5550,Service,,1,"5,315.60  ","5,315.60  ","56,981.86  "
,01/03/2022,Invoice,1948-5547RR,Service,,1,"3,720.00  ","3,720.00  ","60,701.86  "
,01/03/2022,Invoice,1948-5556,Service,,1,"2,480.00  ","2,480.00  ","63,181.86  "
,01/03/2022,Invoice,1948-5523,Service,,1,"1,447.09  ","1,447.09  ","64,628.95  "
,01/03/2022,Invoice,1948-5507,Service,,1,508.48  ,508.48  ,"65,137.43  "
,01/03/2022,Invoice,1948-5521,Service,,1,"4,900.00  ","4,900.00  ","70,037.43  "
,01/03/2022,Invoice,1948-5503,Service,,1,"1,670.07  ","1,670.07  ","71,707.50  "
,01/03/2022,Invoice,1948-5533,Service,,1,"12,936.08  ","12,936.08  ","84,643.58  "
,01/03/2022,Invoice,1948-5565,Service,,1,900.00  ,900.00  ,"85,543.58  "
,01/03/2022,Invoice,1948-5551,Service,,1,"1,883.49  ","1,883.49  ","87,427.07  "
,01/03/2022,Invoice,1948-5546,Service,,1,463.28  ,463.28  ,"87,890.35  "
,01/03/2022,Invoice,1948-5552,Service,,1,494.49  ,494.49  ,"88,384.84  "
,01/03/2022,Invoice,1948-5504,Service,,1,"10,347.92  ","10,347.92  ","98,732.76  "
,01/03/2022,Invoice,1948-5536,Service,,1,"1,406.03  ","1,406.03  ","100,138.79  "
,01/03/2022,Invoice,1948-5524,Service,,1,573.18  ,573.18  ,"100,711.97  "
,01/03/2022,Invoice,1948-5543,Service,,1,422.08  ,422.08  ,"101,134.05  "
,01/03/2022,Invoice,1948-5563,Service,,1,"5,730.00  ","5,730.00  ","106,864.05  "
,01/03/2022,Invoice,1948-5544,Service,,1,"8,250.06  ","8,250.06  ","115,114.11  "
,01/03/2022,Invoice,1948-5530,Service,,1,"4,946.86  ","4,946.86  ","120,060.97  "
,01/04/2022,Invoice,1948-5560,Service,,1,190.52  ,190.52  ,"120,251.49  "
,01/04/2022,Invoice,1948-5573,Service,,1,"1,160.70  ","1,160.70  ","121,412.19  "
,01/04/2022,Invoice,1948-5571,Service,,1,"1,984.00  ","1,984.00  ","123,396.19  "
,01/04/2022,Invoice,1948-5553,Service,,1,721.39  ,721.39  ,"124,117.58  "
,01/04/2022,Invoice,1948-5570,Service,,1,550.15  ,550.15  ,"124,667.73  "
,01/04/2022,Invoice,1948-5572,Service,,1,"2,480.00  ","2,480.00  ","127,147.73  "
,01/04/2022,Invoice,1948-5568,Service,,1,"3,133.10  ","3,133.10  ","130,280.83  "
,01/04/2022,Invoice,1948-5559,Service,,1,489.52  ,489.52  ,"130,770.35  "
,01/04/2022,Invoice,1948-5569,Service,,1,551.85  ,551.85  ,"131,322.20  "
,01/05/2022,Invoice,1948-5576,Service,,1,390.00  ,390.00  ,"131,712.20  "
,01/05/2022,Invoice,1948-5574,Service,,1,157.50  ,157.50  ,"131,869.70  "
,01/05/2022,Invoice,1948-5566,Service,,1,"6,500.00  ","6,500.00  ","138,369.70  "
,01/05/2022,Invoice,1948-5561,Service,,1,"10,685.41  ","10,685.41  ","149,055.11  "
,01/05/2022,Invoice,1948-5575,Service,,1,167.20  ,167.20  ,"149,222.31  "
,01/05/2022,Invoice,1948-5578,Service,,1,"5,400.60  ","5,400.60  ","154,622.91  "
,01/05/2022,Invoice,1948-5577,Service,,1,720.00  ,720.00  ,"155,342.91  "
,01/06/2022,Invoice,1948-5513,Service,,1,"1,086.17  ","1,086.17  ","156,429.08  "
,01/06/2022,Invoice,1948-5517,Service,,1,"2,480.00  ","2,480.00  ","158,909.08  "
,01/06/2022,Invoice,1948-5538,Service,,1,"17,029.06  ","17,029.06  ","175,938.14  "
,01/07/2022,Invoice,1948-5580,Service,,1,"7,010.00  ","7,010.00  ","182,948.14  "
,01/10/2022,Invoice,1948-5579,Service,,1,"1,940.00  ","1,940.00  ","184,888.14  "
,01/12/2022,Invoice,1948-5440,Service,,1,"12,000.00  ","12,000.00  ","196,888.14  "
,01/12/2022,Invoice,1948-5585,Service,,1,477.93  ,477.93  ,"197,366.07  "
,01/12/2022,Invoice,1948-5239,Sales,,,,"8,038.80  ","205,404.87  "
,01/12/2022,Invoice,1948-5586,Service,,1,504.77  ,504.77  ,"205,909.64  "
,01/12/2022,Invoice,1948-5323,Service,,1,"1,234.40  ","1,234.40  ","207,144.04  "
,01/12/2022,Invoice,1948-5588,Service,,1,801.18  ,801.18  ,"207,945.22  "
,01/12/2022,Invoice,1948-5587,Service,,1,751.15  ,751.15  ,"208,696.37  "
