Vendor,Amount
1st Alarm Security,"2,377.37  "
4 Rivers Equipment,"2,942.22  "
7-11,142.56  
AABCA Inc.,"21,000.00  "
ACME Brick,71.45  
ACTDT,"7,703.50  "
Advance Auto,20.56  
Advance Auto Parts,87.66  
AGI Marketing,"16,832.92  "
Airmix,"1,083.38  "
Albertsons,844.54  
Alcala CPA PLLC,"11,945.00  "
All Fence Supply Co.,"26,600.86  "
Allsups,36.21  
Amazon,"5,316.44  "
Amer Notaries,27.90  
American Express,37.37  
American Sling LLC,"1,022.17  "
Angel Marquez,0.00  
Angie Gonzalez,686.20  
Annual Membership Fee,99.00  
Apache Barricade & Sign,270.00  
Apys Color Supply,174.88  
Aqua Addicts,140.69  
Aqua Cave,224.03  
Arby's,53.67  
Arrow Magnolia International,"1,856.28  "
"Assurance Fire Protection, LLC",569.40  
Asurion Wireless Insurance,249.00  
Auto Zone,"23,495.34  "
AutoZone,730.36  
Avetta,"1,189.67  "
Avis,213.09  
AWSD,-311.87  
B2B Prime,193.77  
Bearings & Seals of El Paso,68.82  
Best Buy,"3,770.18  "
Big 5 Sporting,23.80  
Big Frog Custom T-S,416.77  
"Binkley Electrical Contractors, LLc",589.96  
Blake S Lotaburger,114.57  
Bluebeam,377.80  
Bobby C. Lambert,330.00  
Bobcat of El Paso,"14,684.84  "
Bobs Small Engine,40.59  
Border Hose,"5,975.36  "
"Border Hose & Supply, Inc.","2,246.19  "
Border Internation,"2,433.83  "
Boson.com,178.00  
Boss 7,12.86  
Buffalo Wild Wings,250.18  
Bulk Reef Supply,"1,657.66  "
Burger King,53.90  
C & R Distributing,"14,553.14  "
Carlos & Mickeys Restaurant,140.57  
Carlos Ramirez,800.00  
Carquest,84.85  
Casa Carpets,"2,385.52  "
Cengage Learning,129.33  
Centennial Hawk Fastpitch Booster,300.00  
"Center Rock, Inc.","3,793.81  "
Chachis Express,12.33  
Chaparral Transfer Station,329.54  
Charles Blancas,"1,401.45  "
Charles R. Blancas,"-1,074.56  "
Chelsea Maribel Arellano Villalobos,"3,500.00  "
Chevrolet,"2,756.13  "
Chick-Fil-A,26.01  
Chick-Fill-A,8.93  
Chili's,164.51  
Chrysler,"2,604.26  "
Church's Chicken,181.98  
Circle K,"1,201.26  "
City of El Paso,102.00  
Complete Reprographics,215.97  
Condensed Curriculum,"2,659.30  "
"Consolidated Electrical Distributors, Inc.",228.95  
Construction BID,119.85  
Contractors Bonding Service,250.00  
Crumbl,20.31  
Cuba Auto Glass,"1,301.55  "
David Vargas,125.00  
"Davids Pennants, Banners",121.24  
Daybook Bookkeeping,"5,340.00  "
Deming Sand Gravel,425.38  
Denise Alvarez,306.01  
Department of the Treasury,204.00  
Desert Haven,336.45  
Dick Poe Dodge,"8,334.89  "
Discount Tires,"23,373.21  "
Divine Automotive and Diesel Services,"19,047.00  "
DMC Power,"10,514.24  "
Doggett,"5,991.71  "
Dollar General,138.52  
Domino's Pizza,57.66  
Dona Ana County 4-H & FFA Expo,"1,500.00  "
Donegal Insurance,"122,861.80  "
Doordash,323.86  
Dropbox,767.52  
"Dump Truck and Loader Services, Inc.","1,650.00  "
