Year,Week,ds,y,Recievables
2022,1,1/3/2022,1347047,216637
2022,2,1/10/2022,1348548,220002
2022,3,1/17/2022,1362683,186054
2022,4,1/24/2022,1297296,291930
2022,5,1/31/2022,1328903,298269
2022,6,2/7/2022,1323508,398634
2022,7,2/14/2022,1303869,580196
2022,8,2/21/2022,1305221,580196
2022,9,2/28/2022,1299637,586159
2022,10,3/7/2022,1286504,674886
2022,11,3/14/2022,1311555,572342
2022,12,3/21/2022,1468437,456806
2022,13,3/28/2022,1462666,354359
2022,14,4/4/2022,1430839,408125
2022,15,4/11/2022,1405144,434353
2022,16,4/18/2022,1355928,354265
2022,17,4/25/2022,1460329,404625
2022,18,5/2/2022,1517710,197244
2022,19,5/9/2022,1517877,451762
2022,20,5/16/2022,1392393,451762
2022,21,5/23/2022,1367283,451762
2022,22,5/30/2022,1547313,396393
2022,23,6/6/2022,1487015,396393
2022,24,6/13/2022,1431531,216529
2022,25,6/20/2022,1346230,327494
2022,26,6/27/2022,1307593,327494
2022,27,7/4/2022,1237273,308396
2022,28,7/11/2022,1304364,254705
2022,29,7/18/2022,1261910,228934
2022,30,7/25/2022,1236692,215610
2022,31,8/1/2022,1014786,288175
2022,32,8/8/2022,1133650,321983
2022,33,8/15/2022,1161284,347063
2022,34,8/22/2022,1128303,421902
2022,35,8/29/2022,1123132,415928
2022,36,9/5/2022,1124331,387075
2022,37,9/12/2022,1160669,330464
2022,38,9/19/2022,1190238,300017
2022,39,9/26/2022,1214039,348916
2022,40,10/3/2022,1241410,285428
2022,41,10/10/2022,1255708,279353
2022,42,10/17/2022,1238016,288574
2022,43,10/24/2022,1167950,298545
2022,44,10/31/2022,1179448,316981
2022,45,11/7/2022,1206666,222146
2022,46,11/14/2022,1342166,222773
2022,47,11/21/2022,1349236,206624
2022,48,11/28/2022,1364913,164935
2022,49,12/5/2022,1408474,324208
2022,50,12/12/2022,1404734,347212
2022,51,12/23/2022,1389907,384005
2022,52,12/30/2022,1338004,545431
2023,53,1/6/2023,1454978,466460
2023,54,1/13/2023,1459398,400181
